179 762,770 913,975 976	6
355 359,501 651,757 782	6
58 484,495 535,703 952	8
230 292,655 835,865 881	6
357 370,588 760,786 951	6
27 90,356 547,560 719	8
300 327,477 609,660 945	6
113 221,356 474,740 990	6
87 581,656 777,865 927	6
34 190,190 193,249 262	8
42 594,693 716,919 971	6
17 242,463 858,881 897	6
21 322,351 721,737 756	6
75 458,470 610,643 809	8
201 383,609 660,674 884	10
120 258,268 276,313 696	6
146 587,685 715,732 882	6
92 123,236 472,685 777	6
66 172,202 297,467 583	6
126 196,347 462,524 853	6
114 226,282 381,766 910	6
240 376,592 599,716 839	6
30 496,502 560,734 794	6
397 476,559 685,788 924	6
118 201,283 337,740 862	6
144 412,527 616,839 919	6
73 308,460 598,619 891	8
232 326,403 576,647 912	6
162 301,387 588,725 835	8
326 597,723 723,759 888	6
367 569,645 725,752 894	6
98 214,232 416,470 756	6
18 67,215 403,455 638	6
115 188,812 909,956 965	6
150 485,814 863,907 954	6
139 168,353 679,708 761	6
92 261,516 530,918 994	8
154 292,348 697,943 968	10
23 199,484 625,724 753	6
143 326,446 450,588 984	6
7 79,246 736,928 969	6
87 91,475 552,729 910	6
372 515,603 754,764 928	6
95 182,457 721,769 830	6
94 160,229 610,663 978	8
165 202,210 604,763 992	6
18 251,484 674,845 934	6
179 221,296 306,914 965	8
116 265,411 519,815 966	6
99 285,303 623,964 969	6
219 302,492 523,585 948	8
6 645,804 907,947 990	6
658 677,716 758,818 996	6
57 100,272 374,762 783	6
18 190,256 378,641 780	8
276 318,572 943,961 989	6
207 248,433 516,618 754	8
73 234,359 638,734 935	8
48 179,409 546,650 756	8
491 544,563 577,767 799	6
52 197,410 466,502 570	8
69 175,661 720,847 923	6
7 97,143 474,784 789	6
8 252,254 284,729 986	6
50 221,276 442,643 870	6
116 352,373 668,684 851	6
457 542,602 705,911 940	6
12 239,403 690,729 901	8
63 106,160 202,274 413	6
3 148,148 600,850 913	6
13 366,409 546,652 691	6
70 174,174 693,706 983	6
71 199,349 688,746 811	6
99 282,290 647,694 835	6
117 218,347 423,537 761	8
200 386,459 464,566 981	12
79 225,495 528,629 926	6
139 170,184 209,524 714	8
31 670,691 693,700 702	6
83 163,180 672,807 912	6
58 169,507 604,834 999	6
49 104,157 209,731 820	6
49 455,784 883,898 911	8
289 301,624 631,642 937	6
47 118,395 508,912 948	6
30 234,277 825,932 932	6
266 292,446 467,504 865	6
279 596,857 884,896 971	8
486 496,507 614,799 828	6
374 657,720 727,782 884	6
41 609,630 639,671 730	6
37 38,258 756,801 908	6
317 678,745 756,761 876	8
67 165,236 444,852 967	6
120 153,170 400,572 858	6
3 67,376 385,394 668	10
92 252,302 523,807 950	8
5 77,112 140,440 790	6
132 321,726 796,803 904	8
119 378,453 476,480 501	8
