POINT (-3.0658 55.0165)
POINT (4.9342 45.0165)
POINT (4.9342 40.0165)
POINT (9.9342 67.0165)
POINT (9.9342 59.0165)
POINT (9.9342 50.0165)
POINT (9.9342 45.0165)
POINT (18.9342 59.0165)
POINT (18.9342 55.0165)
POINT (18.9342 45.0165)
POINT (13.9342 45.0165)
POINT (13.9342 15.0165)
POINT (13.9342 20.0165)
POINT (13.9342 25.0165)
POINT (13.9342 10.0165)
POINT (13.9342 -4.98350000000001)
POINT (-4.0658 10.0165)
POINT (4.9342 15.0165)
POINT (4.9342 20.0165)
POINT (18.9342 35.0165)
POINT (23.9342 39.0165)
POINT (23.9342 45.0165)
POINT (23.9342 35.0165)
POINT (23.9342 25.0165)
POINT (27.9342 59.0165)
POINT (27.9342 45.0165)
POINT (27.9342 39.0165)
POINT (32.9342 45.0165)
POINT (32.9342 39.0165)
POINT (32.9342 35.0165)
POINT (32.9342 25.0165)
POINT (39.9342 35.0165)
POINT (39.9342 40.0165)
POINT (39.9342 45.0165)
POINT (51.9342 40.0165)
POINT (51.9342 35.0165)
POINT (51.9342 25.0165)
POINT (51.9342 20.0165)
POINT (51.9342 12.0165)
POINT (51.9342 5.01649999999999)
POINT (69.9342 35.0165)
POINT (69.9342 25.0165)
POINT (69.9342 20.0165)
POINT (69.9342 5.01649999999999)
POINT (69.9342 -4.98350000000001)
POINT (51.9342 -4.98350000000001)
POINT (60.9342 40.0165)
POINT (65.9342 40.0165)
POINT (74.9342 40.0165)
POINT (74.9342 55.0165)
POINT (65.9342 55.0165)
POINT (60.9342 55.0165)
POINT (60.9342 50.0165)
POINT (51.9342 47.0165)
POINT (56.9342 49.0165)
POINT (51.9342 55.0165)
POINT (41.9342 55.0165)
POINT (41.9342 45.0165)
POINT (41.9342 59.0165)
POINT (46.9342 25.0165)
POINT (46.9342 35.0165)
