831	629
803	48
23	598
894	257
601	651
835	298
891	223
240	856
684	372
201	476
101	154
217	710
913	680
284	478
19	600
0	814
875	19
816	788
756	862
716	316
541	221
601	129
378	172
920	420
782	69
142	157
239	163
936	270
342	557
576	976
522	150
648	948
264	393
138	492
753	89
985	826
8	815
576	830
694	149
5	765
484	191
930	412
556	113
960	116
189	907
800	784
265	602
487	938
524	808
740	683
315	923
242	201
127	11
85	514
741	309
603	151
851	637
800	116
697	984
605	508
537	303
943	170
332	375
432	978
131	22
12	773
583	984
833	91
165	991
43	435
377	145
516	598
406	579
541	522
24	372
4	635
502	476
730	275
367	331
454	321
776	62
803	992
63	260
212	982
223	54
480	605
0	125
429	351
522	966
373	178
790	832
479	483
737	846
308	758
654	480
920	36
23	116
704	525
240	842
262	501
240	149
205	739
292	357
715	980
90	249
891	863
295	745
940	161
925	138
890	88
949	763
311	317
701	965
61	763
397	983
850	908
20	270
225	642
882	748
433	882
210	920
156	69
879	147
686	657
855	387
208	125
591	752
376	401
629	371
879	931
524	255
358	822
112	871
238	93
838	655
659	486
239	623
380	17
257	26
641	639
722	909
457	288
186	643
328	861
27	316
873	428
248	750
598	313
223	508
993	513
700	970
597	962
836	75
814	103
395	50
426	288
602	900
114	485
392	247
89	851
668	708
176	712
445	663
484	872
142	775
621	849
944	881
779	708
854	447
535	290
663	590
723	222
564	701
351	570
103	737
785	561
299	413
776	427
766	215
862	511
968	782
823	650
814	0
290	566
984	671
131	583
243	755
842	574
707	691
156	680
25	37
35	793
277	477
197	850
896	378
838	394
777	444
555	472
866	938
188	878
190	968
637	329
457	733
50	933
28	90
108	453
835	23
379	105
597	416
802	504
952	572
514	181
190	486
524	190
304	364
255	214
549	69
674	773
406	664
622	541
618	855
155	245
17	962
270	779
360	880
212	402
624	57
109	315
610	502
935	336
139	858
470	52
280	74
421	438
367	639
260	836
633	125
623	515
47	412
542	765
168	515
766	212
229	884
411	970
130	970
168	523
905	728
333	666
780	467
372	537
118	543
808	12
6	656
178	508
617	407
937	281
908	532
677	345
315	306
105	397
49	894
946	371
908	665
864	670
956	357
937	729
704	948
156	339
924	564
552	995
371	815
378	93
325	719
765	621
950	391
417	416
523	524
666	99
969	266
332	827
44	59
56	19
345	794
102	259
592	758
335	653
809	226
77	620
770	817
473	853
794	391
169	72
605	74
100	623
997	671
827	156
249	73
958	18
780	661
808	482
221	921
289	150
111	346
806	897
604	845
990	709
683	21
803	775
578	315
555	501
226	12
811	615
102	108
511	867
191	456
912	858
712	537
562	641
888	997
401	618
201	279
888	440
996	550
805	266
39	356
764	78
117	221
447	7
944	31
487	929
237	712
9	657
635	467
72	146
42	909
970	298
484	884
106	595
3	278
690	709
399	711
987	608
153	109
427	344
938	926
545	385
745	57
487	514
429	378
13	686
655	118
390	653
754	94
977	945
578	641
863	956
119	90
27	807
412	49
771	566
392	21
226	839
633	111
855	185
943	154
605	240
940	166
208	399
78	59
481	695
551	467
622	947
377	344
633	318
273	629
707	764
319	185
509	286
415	38
131	33
983	567
486	62
573	591
836	131
653	287
485	552
716	927
925	279
996	78
993	794
492	909
104	528
650	237
607	98
952	985
777	504
425	94
938	681
22	422
686	759
266	428
386	489
646	458
942	554
145	903
318	415
344	300
108	973
46	717
492	312
600	69
460	33
208	770
405	751
83	239
762	478
969	784
268	309
649	136
727	201
143	223
229	79
203	400
805	711
710	230
208	988
315	950
656	168
264	303
196	932
888	302
492	892
615	406
462	553
577	501
83	297
495	18
282	577
591	147
614	634
687	299
422	113
445	415
497	441
318	929
835	723
233	14
201	677
303	403
93	913
546	893
430	164
439	933
832	351
81	473
763	266
219	448
426	988
658	982
563	967
565	61
998	937
730	157
395	853
990	194
797	392
688	995
525	855
506	883
692	21
261	800
672	651
353	625
434	504
502	669
106	912
393	438
464	465
518	397
176	80
247	727
945	106
926	188
394	519
